"","MLUSE_old","MLUSE_new"
"47","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"48","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"49","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"50","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"51","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"52","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"53","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"54","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"55","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"56","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"57","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"58","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"59","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"60","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"61","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"62","Undefined (before)","Undefined (after)"
"63","Undefined (before)","Single Family Residential Suburban (after)"
"64","Undefined (before)","Single Family Residential Suburban (after)"
"65","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"66","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"67","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"68","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"69","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"70","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"71","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"72","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"73","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"74","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"75","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"76","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"77","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"78","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"79","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"80","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"81","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"82","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"83","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"84","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"85","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"86","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"87","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"88","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"89","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"90","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"91","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"92","Commerical / Industrial (before)","Commerical / Industrial (after)"
"93","Commerical / Industrial (before)","Commerical / Industrial (after)"
"94","Commerical / Industrial (before)","Commerical / Industrial (after)"
"95","Commerical / Industrial (before)","Commerical / Industrial (after)"
"96","Commerical / Industrial (before)","Commerical / Industrial (after)"
"97","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
